id,user_id,rdv,asofright,ovr55,clusteros,phased,stalled,name,status,descr,prj_url,address,state,zip_code,height,stories,year_compl,prjarea,singfamhu,smmultifam,lgmultifam,hu,gqpop,rptdemp,commsf,hotelrms,onsitepark,total_cost,ret_sqft,ofcmd_sqft,indmf_sqft,whs_sqft,rnd_sqft,ei_sqft,other_sqft,hotel_sqft,latitude,longitude,mixed_use,created_at,updated_at,municipal,devlper,yrcomp_est,units_1bd,units_2bd,units_3bd,affrd_unit,aff_u30,aff_30_50,aff_50_80,aff_80p,headqtrs,park_type,publicsqft,unknownhu,aff_unknown,unk_sqft,loc_id,parcel_fy,rpa_name,county,nhood,n_transit,mepa_id,traffic_count_data,mepa_id_present,traffic_count_data_present
6148,823,false,false,false,false,false,false,150 Centre Street,planning,"Trinity Financial Development proposes to develop a 4 story building totaling 68,400 square feet in gross floor area. The project proposes to include 74 units and 39 parking spaces. The proponent is committed to 45 units being made affordable at 30%, 60% and 80% AMI.",http://www.bostonplans.org/projects/development-projects/150-centre-street,Centre Street,MA,"=""02124""",,,2027,,0,0,74,74,,,0,0,39,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2920507347299,-71.0661115022997,false,2023-01-06 18:47:25 UTC,2023-01-06 18:47:51 UTC,Boston,Trinity Financial,true,,,,45,15,15,15,,false,,0,,,0,M_235788_893599,,Metropolitan Area Planning Council,Suffolk,Dorchester,"[""Rapid Transit: Shawmut""]",,,false,false
6116,823,false,false,false,false,false,false,Mildred Hailey,in_construction,"The Phase One redevelopment footprint includes seven existing residential buildings—with a total of 253 public housing apartment units—plus the existing Anna Mae Cole Center.The Phase One redevelopment will replace all 253 existing public housing apartments with equally affordable Section 8 housing, while at the same time constructing a new Anna Mae Cole Center and constructing approximately 420 new housing units restricted at a variety of income tiers including new affordable and moderate-rate units (https://haileyapartments.com/faq/)The Mildred C. Hailey project is approved under the 121A Master Plan and is located at the southeast portion of the existing Mildred C. Hailey Apartments housing development. Building 2 is proposed to be a six-story (approximately 70 foot tall) building with approximately 82,750 sf consisting of 65 residential units and associated amenities. Building 3 is proposed to be a six-story (approximately 70 foot tall) building with approximately 71,050 sf consisting of 60 residential units and approximately 4,550 sf of non-residential space.",,Centre Street,MA,"=""02130""",,,2030,,0,0,674,674,0,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3233336478952,-71.1013106503525,false,2022-11-23 16:51:58 UTC,2023-02-02 16:43:53 UTC,Boston,,false,,,,674,309,38,197,130,false,,0,,0,0,M_232812_897051,,Metropolitan Area Planning Council,Suffolk,Jamaica Plain,"[""Rapid Transit: Jackson Square""]",,,false,false
6376,852,false,false,false,false,false,false,"G7 Labs, LLC",completed,Adult use marijuana testing facility,,Ayer Road,MA,"=""01460""",,,2023,,0,0,0,0,0,5,83969,0,,,0.0,83969.0,0.0,0.0,0.0,0.0,0.0,0.0,42.548379,-71.521763,false,2023-03-07 17:41:09 UTC,2023-03-07 17:41:09 UTC,Littleton,,true,,,,0,0,0,0,0,false,,0,,0,,M_198223_921978,,Metropolitan Area Planning Council,Middlesex,,[],,,false,false
6149,823,false,false,false,false,false,false,1314 Washington Street,planning,"Adaptive Reuse redevelopment of bank in West Newton, retail, 50 units residential, 9 affordable units",https://www.newtonma.gov/home/showpublisheddocument/87428/637939942939200000,Washington Street,MA,"=""02465""",,,2027,,0,0,50,50,,,4119,,69,,4119.0,,,,,,,,42.3490698429345,-71.2270679864647,false,2023-01-06 18:55:06 UTC,2023-01-06 18:55:06 UTC,Newton,,false,21,23,6,9,,,8,1,false,underground,,,,,F_729955_2952290,,Metropolitan Area Planning Council,Middlesex,,"[""Commuter Rail: West Newton""]",,,false,false
6164,348,false,false,false,false,false,false,Jack's Mill,in_construction,"Redevelopment of one of the largest historic mill complexes in Clinton (The 150,000-square-foot historic Bigelow Carpet Mill)Phase 1 coming to market Spring 2023150 Residential Apartments and proposed 25,000 SF of on-property services including gym, food & beverage, pet resort, and service amenities",https://cebuilds.com/jacks-mill-commercial/,Main Street,MA,"=""01510""",,,2023,,0,0,150,150,0,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.4178156279608,-71.6890672487735,false,2023-01-10 17:40:13 UTC,2023-01-10 17:40:13 UTC,Clinton,Cunningham Equities,true,,,,150,0,0,0,0,false,,0,,150,,F_605120_2977333,,Montachusett Regional Planning Commission,Worcester,,[],,,false,false
6375,852,false,false,false,false,false,false,1 and 2 Monarch Drive,in_construction,Industrial building,,Monarch Drive,MA,"=""01460""",,,2024,,0,0,0,0,0,,92000,0,,,0.0,0.0,0.0,92000.0,0.0,0.0,0.0,0.0,42.517683,-71.518946,false,2023-03-07 17:23:12 UTC,2023-03-07 17:23:12 UTC,Littleton,,true,,,,0,0,0,0,0,false,,0,,0,,M_198426_918626,,Metropolitan Area Planning Council,Middlesex,,[],,,false,false
6377,852,false,false,false,false,false,false,225 Taylor Street ,in_construction,The Gutierrez Company - Commercial office / R&D space,,Taylor Street,MA,"=""01460""",,,2025,,0,0,0,0,0,,330000,0,,,0.0,0.0,0.0,0.0,0.0,0.0,330000.0,0.0,42.515018,-71.5111,false,2023-03-07 18:33:16 UTC,2023-03-07 18:33:16 UTC,Littleton,,true,,,,0,0,0,0,0,false,,0,,0,,M_199088_918274,,Metropolitan Area Planning Council,Middlesex,,[],,,false,false
6378,852,false,false,false,false,false,false,195 Tahattawan Road,in_construction,Open Space Subdivision,,Tahattawan Road,MA,"=""01460""",,,2024,,16,0,0,16,0,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5211133298359,-71.4782175844072,false,2023-03-07 18:35:47 UTC,2023-03-07 18:35:47 UTC,Littleton,,true,,,,16,0,0,0,0,false,,0,,16,0,M_201495_918790,,Metropolitan Area Planning Council,Middlesex,,[],,,false,false
6381,264,false,false,false,false,false,false,Beal Commons,in_construction,Redevelopment of old Beal School,,Main Street,MA,"=""01545""",,,2027,,0,0,53,53,0,,7000,0,,,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2963046218551,-71.714561683571,false,2023-03-07 19:37:18 UTC,2025-10-28 18:11:32 UTC,Shrewsbury,,false,,,,7,0,0,0,0,false,,0,,7,,F_598116_2933003,,Central Massachusetts Regional Planning Commission,Worcester,,"[""RTA: WRTA""]",,,false,false
6383,264,false,false,false,false,false,false,Baseball Lofts,projected,Proposed apartments at Baseball Complex,,Southwest Cutoff,MA,"=""01532""",,,2025,,,,315,315,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2864762250255,-71.666431143659,false,2023-03-07 19:45:49 UTC,2023-03-07 19:45:49 UTC,Northborough,,true,,,,,,,,,false,,0,,,0,F_611175_2929531,,Central Massachusetts Regional Planning Commission,Worcester,,[],,,false,false
6379,264,false,false,false,false,false,false,Rice Road  Development,projected,Possible Development,,Providence Street,MA,"=""01527""",,,2030,,,,192,192,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.1878367682076,-71.7482250341888,false,2023-03-07 19:24:39 UTC,2023-03-07 19:24:39 UTC,Millbury,,true,,,,,,,,,false,,0,,,0,F_588014_2894323,,Central Massachusetts Regional Planning Commission,Worcester,,"[""RTA: WRTA""]",,,false,false
6661,988,false,false,false,false,false,false,181-183 Winthrop Street,planning,"The owner plans to redevelop and renovate the existing building to seven one-bedroom units. They are going to construct seven residential units within the existing building and one retail space, with a maximum building height of three stories and forty-three feet plus. ",,Winthrop Street,MA,"=""02152""",43,3,2030,,0,0,7,7,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3758310276531,-70.9833423887904,false,2024-07-22 19:14:25 UTC,2024-07-22 19:14:25 UTC,Winthrop,,true,7,,,,,,,,false,,0,,,0,M_242556_902951,,Metropolitan Area Planning Council,Suffolk,,[],,,false,false
6382,264,false,false,false,false,false,false,Village Commons,planning,Village Commons devlopment,,Gleason Street,MA,"=""01581""",,,2024,,15,0,0,15,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2694060180269,-71.6563216251954,false,2023-03-07 19:38:47 UTC,2023-03-07 19:38:47 UTC,Westborough,,true,,,,,,,,,false,,0,,,0,F_613825_2923330,,Central Massachusetts Regional Planning Commission,Worcester,,"[""Commuter Rail: Westborough""]",,,false,false
6385,264,false,false,false,false,false,false,Emerald Run,planning,Proposed condo development ,,Green Street,MA,"=""01545""",,,2030,,0,0,300,300,,,0,0,540,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2671262952589,-71.6832938929912,false,2023-03-07 19:57:01 UTC,2023-03-07 19:57:01 UTC,Shrewsbury,,false,,,100,75,,,,,false,,0,,75,0,F_606715_2923118,,Central Massachusetts Regional Planning Commission,Worcester,,[],,,false,false
6384,264,false,false,false,false,false,false,Smoke Stack Redevlopment,planning,Smoke Stack BBQ Redevlopment,,Green Street,MA,"=""01610""",,,2030,,0,0,375,375,,,22000,0,,,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2565106606405,-71.7981744344699,false,2023-03-07 19:51:12 UTC,2026-02-03 21:36:10 UTC,Worcester,,true,,,,,,,,,false,,0,,,0,F_575431_2918630,,Central Massachusetts Regional Planning Commission,Worcester,,"[""Commuter Rail: Worcester""]",,,false,false
6380,264,false,false,false,false,false,false,Washington Street Devlopment,projected,Projected development,,Lamartine Street,MA,"=""01610""",,,2030,,,,94,94,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2547237230481,-71.8000599138511,false,2023-03-07 19:30:39 UTC,2026-02-03 21:36:24 UTC,Worcester,,true,,,,,,,,,false,,0,,,0,F_574792_2918025,,Central Massachusetts Regional Planning Commission,Worcester,,"[""RTA: WRTA""]",,,false,false
