gjoin_src,gjoin_tgt,wt_pop,wt_hh
G2500010000000,G2500010010206,0.0,0.0
G2500010000000,G2500010010208,0.0,0.0
G2500010000000,G2500010010400,0.0,0.0
G2500010000000,G2500010010600,0.0,0.0
G2500010000000,G2500010010700,0.0,0.0
G2500010000000,G2500010010800,0.0,0.0
G2500010000000,G2500010010900,0.0,0.0
G2500010000000,G2500010011300,0.0,0.0
G2500010000000,G2500010011400,0.0,0.0
G2500010000000,G2500010011600,0.0,0.0
G2500010000000,G2500010011700,0.0,0.0
G2500010000000,G2500010011801,0.0,0.0
G2500010000000,G2500010012200,0.0,0.0
G2500010000000,G2500010013002,0.0,0.0
G2500010000000,G2500010013200,0.0,0.0
G2500010000000,G2500010013300,0.0,0.0
G2500010000000,G2500010013400,0.0,0.0
G2500010000000,G2500010013800,0.0,0.0
G2500010000000,G2500010014500,0.0,0.0
G2500010000000,G2500010014600,0.0,0.0
G2500010000000,G2500010014700,0.0,0.0
G2500010000000,G2500010014800,0.0,0.0
G2500010000000,G2500010014900,0.0,0.0
G2500010000000,G2500010015200,0.0,0.0
G2500010000000,G2500010990000,0.0,0.0
G2500010010100,G2500010010100,1.0,1.0
G2500010010100,G2500010990000,0.0,0.0
G2500010010200,G2500010010100,0.0,0.0
G2500010010200,G2500010010206,0.5786,0.5832
G2500010010200,G2500010010208,0.4214,0.4168
G2500010010200,G2500010010306,0.0,0.0
G2500010010200,G2500010990000,0.0,0.0
G2500010010300,G2500010010206,0.0,0.0
G2500010010300,G2500010010304,0.4885,0.45399999999999996
G2500010010300,G2500010010306,0.5115,0.546
G2500010010300,G2500010010400,0.0,0.0
G2500010010300,G2500010010500,0.0,0.0
G2500010010300,G2500010990000,0.0,0.0
G2500010010400,G2500010010304,0.0,0.0
G2500010010400,G2500010010400,0.9993000000000001,0.9995999999999999
G2500010010400,G2500010010900,0.0007000000000000001,0.0004
G2500010010500,G2500010010500,1.0,1.0
G2500010010600,G2500010010600,1.0,1.0
G2500010010600,G2500010011100,0.0,0.0
G2500010010700,G2500010010700,1.0,1.0
